Region,Project Name,Type,Location,Status,Source,Time_Info,All_Years,Min_Year,Max_Year,Likely_Completion_Year
Noordwest-Nederland,A1/A6/A9 Schiphol-Amsterdam-Almere,Road,Schiphol/Amsterdam/Almere,Construction (Aanleg),"MIRT 2026, p.187",2025  Vanwege de excessieve prijsstijging in de | 2023   Vanwege de beperkende maatregelen omtrent | als het programma SAA van 2026 naar 2027. Dit is | op 15 december 2021 met de Tweede Kamer | 2022  Conform de voortgang van het programma en | 2021   Conform de voortgang van het programma en | Planning 2027: Openstelling van het laatste SAA deeltraject: A9,"[2021, 2022, 2023, 2025, 2026, 2027]",2021,2027,2027
Noordwest-Nederland,ZuidasDok,Road/Rail,Amsterdam Zuidas,Construction (Aanleg),"MIRT 2026, p.194",2025  Het Bestuurlijk Overleg heeft de volledige | Knooppunt Amstel is eind 2024 gestart. | 2024  Met de Kamerbrief van 21 december 2023 is de | 2023   In het Bestuurlijk Overleg MIRT van november | 2022 is besloten om een aanvullend budget toe te | is in augustus 2022 gestart. | 2032-2036: Openstelling (verschillende projectonderdelen worden,"[2022, 2023, 2024, 2025, 2032, 2036]",2022,2036,2036
Noordwest-Nederland,A27/A12 Ring Utrecht,Road,Utrecht,Construction (Aanleg),"MIRT 2026, p.192","2025  30 april heeft de Raad van State een tussenuit - | 2024  Op 19, 20 en 21 november heeft de Raad van State | A12 Ring Utrecht 2020 en 2022. | 2023    Op 23 augustus 2022 is de aanpassing van het | 2022    Op 17 november 2020 is het tracébesluit | 2020    De Raad van State heeft op 17 juli 2019 geoor -","[2019, 2020, 2022, 2023, 2024, 2025]",2019,2025,
Noordwest-Nederland,A10 Knooppunten De Nieuwe Meer en Amstel,Road,Amsterdam,Construction (Aanleg),"MIRT 2026, p.189","2025   De aanbesteding van deelproject Knooppunt | Amstel is eind 2024 op de markt gezet. Gunning | wordt eind 2025 verwacht. De werkzaamheden | Het Bestuurlijk Overleg heeft in mei 2024 besloten | 2024  Met de kamerbrief van december 2023 (TK 32668, | 2032-2036 Openstelling (verschillende projectonderdelen worden","[2023, 2024, 2025, 2032, 2036]",2023,2036,2036
Noordwest-Nederland,Afsluitdijk,Water/Road,Afsluitdijk,Construction (Aanleg),"MIRT 2026, p.212",2025  Het werk aan de Afsluitdijk gaat door. De | Afsluitdijk is 2026. | 2024   De eindoplevering van de vernieuwde Afsluitdijk | is verschoven naar 2026. Uitzondering hierop is de | 2023   Met de opdrachtnemer zijn nieuwe afspraken | vernieuwde Afsluitdijk staan op 2025. Het | 2022   De ontwerpen van de nieuwe en bestaande | tenminste 2050 de veiligheidseis van 1:10.000 per jaar (eerste stap van | Voorzien wordt dat de Afsluitdijk in 2026 weer aan de normen voor,"[2022, 2023, 2024, 2025, 2026, 2050]",2022,2050,2026
Noordwest-Nederland,Zeetoegang IJmond (Nieuwe Sluis),Water,IJmuiden,Construction (Aanleg),"MIRT 2026, p.210","2025   De Selectieve Onttrekking is in oktober 2024 in | 2024  Ingebruikname van de Selectieve Onttrekking is | voorzien voor eind 2024. | 2023   Het budget voor de Selectieve Onttrekking is in | december 2022 opgehoogd met € 25,2 miljoen, | 2022   Zeesluis IJmuiden is 26 januari 2022 door de | 2021   Om de Selectieve Onttrekking te kunnen | 2020   De aanbesteding voor Selectieve Onttrekking (ter | 2020 gestart. | Zeesluis IJmuiden is 26 januari 2022 in gebruik genomen. De Selectieve | Onttrekking is eind 2024 in gebruik genomen.","[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,2024
Noordwest-Nederland,PHS Amsterdam,Rail,Amsterdam Centraal,Construction (Aanleg),"MIRT 2026, p.203",2025  De eerste projectonderdelen zijn in gebruik | staan op 2032. Omdat de ontwikkeling van een | delta toegekende IBOI 2024 versus de CBS-index | 2024. Op basis van een inventarisatie van de nog | per dag. De prognose van de NMCA laat richting 2040 een sterke groei in,"[2024, 2025, 2032, 2040]",2024,2040,
Noordwest-Nederland,SBaB (Samen Bouwen aan Bereikbaarheid),Program,Metropoolregio Amsterdam,Program,"MIRT 2026, p.155",2025  In het BO MIRT 2024 is de rapportage van de | Leefomgeving 2025 is de eerste versie van de | 2024  Er is een nieuw programmaplan vastgesteld voor | de periode 2024-2026 waarin de brede welvaarts - | 2040 250.000 woningen bij en groeit de werkgelegenheid met 230.000 | arbeidsplaatsen. Hiervan worden al 175.000 woningen tot 2030 | om in 2030 55% minder CO2 uit te stoten en in 2050 95% minder (de | programmaplan 2021-2024.,"[2021, 2024, 2025, 2026, 2030, 2040, 2050]",2021,2050,
Noordwest-Nederland,A7/A8 Amsterdam-Hoorn,Road,Amsterdam/Hoorn,Paused (Planning),"MIRT 2026, p.173",2025   Het project is gepauzeerd vanwege stikstof - | 2021   Start MIRT-planning en studies voor het | 2020   Partijen hebben in het Bestuurlijk Overleg MIRT,"[2020, 2021, 2025]",2020,2025,
Noordwest-Nederland,A6 Almere Oostvaarders-Lelystad,Road,Almere/Lelystad,Paused (Planning),"MIRT 2026, p.171",2025   Het project is gepauzeerd vanwege stikstofpro - | 2022   Zoals gemeld in de MIRT-brief van 9 juni 2021 (TK | 2021   De totstandkoming van het ontwerp-tracébesluit | Flevoland voor de nieuwe aansluiting op de A6 die begin 2021 is,"[2021, 2022, 2025]",2021,2025,
