Name,Description
"""Kop van Isselt"" and ""Ocriet eiland"" housing projects (2,600 homes)","Construction of approximately 2,500 homes in Kop van Isselt and about 100 homes on Ocriet eiland."
"""Nieuwe stad"" and ""Wagenwerkplaats"" housing projects (1,400 homes)",Construction of about 800 new homes in Nieuwe stad/Eemplein and roughly 600 homes in Wagenwerkplaats.
A1/A30 Barneveld,"Capacity expansion and junction modifications at the A1/A30 interchange near Barneveld to improve traffic flow, including a new connecting curve."
A1/A6/A9 Schiphol-Amsterdam-Almere,"Massive highway expansion across five segments, including tunnels, sunken road sections, and an eco-aquaduct to improve regional accessibility."
A10 Knooppunten De Nieuwe Meer en Amstel,Reconstruction and capacity expansion of the De Nieuwe Meer and Amstel highway interchanges to separate local and through traffic.
A2 Het Vonderen-Kerensheide,"Structural widening of a 20-kilometer highway stretch from rush-hour lanes to full 2x3 lanes with hard shoulders, plus junction fly-over expansion."
A2/N2,"Integral exploration for capacity expansion of the A2/N2 highway on the west side of Eindhoven, alongside the development of a Brainportlijn transit corridor and northwest access roads."
A20 Nieuwerkerk a/d IJssel-Knooppunt Gouwe,Widening the A20 from 2x2 to 2x3 lanes and extending a third lane to improve throughput and safety.
A27 Houten-Hooipolder,"The 47-kilometer highway will be renewed with additional peak and regular lanes, new viaducts, and the replacement of the Hagesteinsebrug, Merwedebrug, and Keizersveerbrug."
A28 Amersfoort-Hoogeveen,"A package of targeted infrastructure measures, dynamic traffic management, and incident management along the A28 corridor to improve safety and flow."
A7/A8 Amsterdam-Hoorn,The project aims to resolve mobility bottlenecks on the A7/A8 corridor between Amsterdam and Hoorn using a combination of mobility measures and targeted infrastructure upgrades without fully relying on new road construction.
Baarlo-Hout-Blerick,"Water safety and river widening project integrating major dike reinforcement, dike relocation to give the river more space, and stream restoration."
Bereikbaarheid Ameland,"Exploration of long-term solutions for the ferry connection between Holwert and Ameland, which may include relocating the port to Ferwert, extending the pier by 1.5 kilometers, or adjusting the shipping channel dimensions."
Besluit Beheer Haringvlietsluizen,Altering the management of the Haringvliet sluices to allow for fish migration and the relocation of freshwater intake points to adapt to changing estuary salinity.
Brainportregio Eindhoven,"Multimodal transport node development including expanding Eindhoven Central station, building the HOV4 line, and developing Knoop XL and HOV-4 areas with 11,500 homes planned until 2030 and nearly 10,000 more after 2030."
Calandbrug (Theemswegtracé),"Construction of a new elevated freight rail route (Theemswegtracé) to bypass the bridge, followed by a large-scale renovation of the existing Calandbrug for road traffic."
Capaciteitsuitbreiding ligplaatsen Amsterdam - Lemmer,"The initiative investigates and implements the expansion, improvement, and restructuring of mooring and waiting berths for ships along the waterway between Amsterdam and Lemmer."
Derde perron Amsterdam Zuid,"The project creates space for rail expansion by constructing a third platform with approach tracks, turnback tracks, and a new passenger terminal for non-Schengen travelers at Amsterdam Zuid."
